marker,chr,pos
CH.322C,3,8.291564
FD.111L-Col/136C,3,11.480925
CC.266L,3,15.051063
BF.270L-Col/271C,3,16.346984
CC.110L/127C,3,18.094189
BH.88C,3,18.776987
EC.58C,3,18.776988
GH.390L,3,21.422011
GH.321L/323C-Col,3,21.422012
GH.226C/227L-Col,3,22.085400
HH.158L,3,25.327497
EC.83C/84L,3,25.665317
GD.318C/320L,3,28.194604
AD.92L,3,30.995068
HH.410C,3,34.670910
BF.148C,3,34.670912
GB.210L,3,38.086008
CD.800C,3,38.086009
HH.242C,3,38.086011
BF.134C-Col,3,39.704548
BH.225C-Col,3,43.418082
EG.122C,3,43.418084
BF.307L,3,44.350410
AD.427L,3,44.350411
BF.239L,3,44.350413
GH.411C/413L-Col,3,44.350414
GD.113C-Col,3,44.350416
BH.323C-Col,3,45.169461
GD.136C-Col,3,45.169462
GD.207C-Col,3,45.169464
GB.80C-Col,3,45.169465
AD.108L,3,45.574260
FD.97C-Col,3,45.574261
HH.440L,3,48.286591
GD.360L,3,48.286593
DF.303C,3,48.653206
DF.250L,3,48.653207
GD.174C-Col,3,49.313033
DF.76L,3,49.640633
BF.128C,3,50.300310
HH.117C,3,52.688081
HH.102C,3,52.688082
GD.296C-Col,3,55.438502
DF.328C,3,58.346106
GH.172C,3,58.346108
FD.98C,3,59.596912
CD.87L-Col,3,66.588701
CC.149L-Col,3,66.588702
AD.182C,3,66.588704
DF.65L-Col,3,68.488352
GD.106C,3,68.488354
GH.58C-Col,3,68.795163
HH.171C-Col/173L,3,70.695509
AD.179C,3,71.313138
AD.495L-Col,3,71.313140
AD.112L-Col,3,72.897197
BH.109L-Col,3,75.144036
GB.97L-Col/99C,3,76.082075
BH.285C,3,76.392761
HH.90L-Col,3,76.392762
ANL2,4,0.000000
GH.250C,4,6.388021
CH.169C,4,17.889882
FD.166L,4,17.889883
CD.320C,4,17.889884
BF.740L,4,17.889885
CC.288L,4,17.889886
GH.165L,4,17.889887
HH.161L,4,17.889888
CD.730C,4,18.507199
BF.151L,4,18.507200
AD.383C,4,18.507201
GH.266L,4,18.507212
CC.388L,4,18.507213
EC.306L,4,22.755474
GH.91C,4,22.755475
BH.92L-Col,4,27.797576
FD.154L,4,30.442727
GH.64C,4,34.758258
CH.238C,4,34.758259
CD.84C-Col/85L,4,35.375580
GH.263C-Col,4,35.375581
SC5,4,39.942822
g4539,4,40.289523
DF.108L-Col,4,40.635774
CD.329C-Col,4,45.254345
AD.307C,4,45.254346
AD.115L-Col,4,46.537827
FD.167L-Col,4,48.152558
CH.70L/71C-Col,4,53.206339
HH.159C-Col,4,56.459810
GH.433L-Col,4,56.459811
GB.490C,4,60.771852
GB.750C,4,67.771693
BH.342C/347L-Col,4,73.668364
FD.207L,5,0.000000
CH.690C,5,2.940610
AD.292L,5,5.263751
BH.144L,5,6.232987
FD.239L-Col,5,11.517410
EC.198L-Col,5,11.517411
BH.180C,5,12.450901
BH.325L,5,13.120403
BH.107L-Col,5,17.456274
BF.269C,5,18.082939
AD.114C-Col,5,21.390456
DF.231C,5,23.320809
CC.400L-Col,5,23.320810
DF.184L-Col,5,28.452585
EG.117L,5,28.452586
BF.164C,5,28.452588
GH.473C,5,33.209409
GH.117C,5,34.154297
GH.121L-Col,5,38.533295
DF.154C,5,41.782964
AD.129L-Col,5,41.782965
HH.480C,5,45.506147
BH.96L-Col,5,51.937046
CC.188L,5,53.180697
EC.395C,5,56.869536
CC.322C,5,56.869537
GH.190C,5,56.869539
GD.239L-Col,5,56.869540
CH.60C,5,56.869542
HH.225C-Col,5,56.869543
EG.410C,5,56.869545
DF.300C,5,57.820890
GB.235C-Col,5,59.761174
GB.59C,5,59.761176
CD.179L,5,61.703350
CH.88L,5,63.311003
EC.96L,5,63.311005
CD.116L,5,65.253138
CC.216C,5,65.253140
EC.151L,5,69.302894
CC.277L-Col,5,69.302896
DFR,5,70.291400
AD.254C,5,76.061598
AD.75C-Col,5,76.680571
GB.248C,5,77.933339
GD.350L-Col,5,77.933341
CD.160L,5,78.551316
BH.81L-Col,5,78.551317
BF.81C,5,78.551319
CC.540C-Col,5,78.551320
GB.223C,5,79.168573
DF.450C,5,80.418873
HH.445L-Col,5,81.991829
GD.118C,5,82.923420
CC.262C,5,85.155018
FD.345C,5,87.390430
GB.102L-Col/105C,5,87.390432
HH.143C,5,93.991816
BF.168L-Col,5,95.563679
DF.119L,5,101.176465
CH.331L-Col,5,102.460924
CH.124C,5,103.094845
GD.222C-Col,5,103.094847
g2368,5,103.932196
FD.188C,5,107.488995
EG.205L,5,107.488997
HH.122C/120L,5,107.488998
